 backfillable_rule_rows | affected_card_ids | affected_normalized_names | unsafe_missing_hash_rows |  source_counts
------------------------+-------------------+---------------------------+--------------------------+-----------------
                     55 |                54 |                        55 |                        0 | {"curated": 55}
(1 row)

                card_name                |             normalized_name             |               card_id                |                logical_rule_key                 | review_status | execution_status | source  | rule_version |            effect            |                   battle_model_scope                   |                     db_card_name                      |              oracle_id               |       computed_oracle_hash       | oracle_text_length
 Formidable Speaker                      | formidable speaker                      | 2c71b9a6-ed6d-4252-94ff-2208452dbfb6 | battle_rule_v1:ba0c54df93c61d9c92a11905c50b7bea | active        | auto             | curated |            1 | creature                     | etb_discard_then_creature_tutor_unexecuted_v1          | Formidable Speaker                                    | 5bd06f9e-9a42-455d-ad26-24bc04e51c7c | 2339245d7d8beb5a87ea1c0c8b67dc88 |                192
 Gemstone Caverns                        | gemstone caverns                        | fe78265c-8e98-4056-84c2-dad98d6bb955 | battle_rule_v1:9384b4cf2ffc3b4afc5cb65fb4febaea | active        | auto             | curated |            1 | land                         | pregame_fixing_land_partial_v1                         | Gemstone Caverns                                      | c0adbddc-b070-4c5f-afe0-0474c72a9251 | 2c25335e12791e77b9c19c9b3af0a413 |                298
 Great Furnace                           | great furnace                           | a0063e78-cfa6-4d2d-aeeb-6512c1d43b51 | battle_rule_v1:9a28465081dd2ac48819f94e919646a6 | verified      | auto             | curated |            1 | land                         | artifact_land_colored_source_v1                        | Great Furnace                                         | f4819061-b0b5-48ab-af7b-6525c3d2eab7 | ed6887f502cae452812d5f5d0a0c5792 |                 13
 Hall of Heliod's Generosity             | hall of heliod's generosity             | a0b0c6cf-bc63-463b-94f3-9ba79f035ffa | battle_rule_v1:4bddcb4c084d969a7ac60a4e378b06dd | active        | auto             | curated |            1 | land                         | colorless_utility_recursion_land_v1                    | Hall of Heliod's Generosity                           | 2fc070dc-f2f7-4648-8069-31d74790a39c | cf91d14269b30b7db1f05234d34db931 |                 98
 Incubation Druid                        | incubation druid                        | 12483b69-351d-401a-b456-df997dee2f0a | battle_rule_v1:86b5c2438a3ba7a20bfd9a0845e1bbc6 | active        | auto             | curated |            1 | creature                     | mana_dork_without_adapt_v1                             | Incubation Druid                                      | 34428f42-03ac-4795-8286-6cbea796df2b | 5bb72caef291ea420e5de42a141665ab |                249
 Inventors' Fair                         | inventors' fair                         | 4df732d0-7304-4634-b40a-d912e8baef52 | battle_rule_v1:c11487143935b327650306d7e7e8c8e2 | active        | auto             | curated |            1 | land                         | artifact_threshold_utility_land_v1                     | Inventors' Fair                                       | 91d4a5fe-fd6d-4b14-a63f-61b4d0ecd9c4 | 9529349d5e874f6304264ddf6a2d0c2f |                284
 Library of Leng                         | library of leng                         | ec9cd418-f443-4e59-9a1a-7086be318209 | battle_rule_v1:b6491cf6f7d7df9a3fb0d91abd3d31c3 | active        | auto             | curated |            2 | passive                      | discard_replacement_to_top_v1                          | Library of Leng                                       | 867def48-4be8-4056-bcf1-d6b00450b9a3 | 575aef3cc2523831e440ea7dcd55fa6e |                159
 Lumra, Bellow of the Woods              | lumra, bellow of the woods              | 290c0a93-5f0c-45fe-9b80-277b1dc36392 | battle_rule_v1:847f9ee3ec1da14f043c8a52a4dbfb52 | verified      | auto             | curated |            1 | land_recursion_creature      | mill_four_then_return_all_graveyard_lands_tapped_v1    | Lumra, Bellow of the Woods                            | 97a84e9d-bfc4-4ca2-b1e8-908dba56ccdb | 6d55531f06ba4e627600f3962ad9f95f |                205
 Mana Vault                              | mana vault                              | d2f38c20-79e2-4330-b6ae-ded990a465e4 | battle_rule_v1:5a2533694ffd19223d3cde1e25d258ff | active        | auto             | curated |            2 | ramp_permanent               | fast_mana_artifact_partial_v1                          | Mana Vault                                            | 736892cb-a34b-4bb9-b56c-e26e3db207a2 | 35e3fd94c8453c0e326033af49ae18c8 |                243
 Mind Stone                              | mind stone                              | 2fc58b83-442e-4853-86d9-ad1b252515eb | battle_rule_v1:53afed56bbee9885bfb6201f8587db07 | active        | auto             | curated |            1 | ramp_permanent               | mana_rock_self_sacrifice_draw_v1                       | Mind Stone                                            | c97361b5-af16-4a7b-af85-a429dbaf4ad2 | 8d1c9b62d7e5642df44a61a63de5e240 |                 61
 Miscast                                 | miscast                                 | db307006-ff0e-4ed6-a004-fee3b791039e | battle_rule_v1:6b480fbda0d69779cde9b6a366089c4a | verified      | auto             | curated |            1 | counter                      | soft_noncreature_counter_v1                            | Miscast                                               | e08c71aa-d35c-4c20-b4db-ae9d36ee3169 | dff145f1eaaa76d6f9e44e688bb29726 |                 71
 Mox Amber                               | mox amber                               | bcd7d52d-b4e2-42e1-9bca-768f1672bc4b | battle_rule_v1:972703914ee50acd7a4e6f529fea1adf | verified      | auto             | curated |            2 | ramp_permanent               | legend_gated_fast_mana_v1                              | Mox Amber                                             | 7a43bd27-fdd8-41f0-9bc4-92568f3408f1 | e47b40cf2afc4c9ceac6bf91815da706 |                 87
 Mox Diamond                             | mox diamond                             | b732f43f-bcda-4bcd-919a-22636567b41d | battle_rule_v1:80a4b5beca8834e0c642dc8c0663106c | verified      | auto             | curated |            1 | ramp_permanent               | discard_land_fast_mana_v1                              | Mox Diamond                                           | f3c5978a-70fa-431f-933b-b954bd0db0ea | 517f664e6c81ce9c204c09a20e14be2d |                198
 Mystical Tutor                          | mystical tutor                          | 401ee6a5-12b7-4ea5-8726-bc5fceac6739 | battle_rule_v1:86137800253980cc4594e0cf3fd78953 | active        | auto             | curated |            1 | tutor                        | instant_or_sorcery_tutor_topdeck_partial_v1            | Mystical Tutor                                        | fb81f95c-70f8-4eb7-8d15-15d0ae23ec03 | 6a72f3c0228efaa3bb3bb616122ed036 |                101
 Natural Order                           | natural order                           | 3bb76ce6-1083-4834-b3fa-cdc68aec0a6f | battle_rule_v1:8a9cf49fe56ad1fabdb48aead5531bd1 | verified      | auto             | curated |            1 | tutor                        | green_creature_pod_tutor_v1                            | Natural Order                                         | 8c1fe337-375a-4add-93b6-0ac39ed72b4f | 313e25b11a10c99127eca70b7fefbb75 |                159
 Nature's Claim                          | nature's claim                          | b4ff3d4b-ab53-4b5b-ac05-86f19adbe53e | battle_rule_v1:b68a368de3add71ee716cda718b9bcb9 | verified      | auto             | curated |            1 | remove_permanent             | artifact_or_enchantment_removal_lifegain_v1            | Nature's Claim                                        | 6d4e558e-9109-4918-a082-fdcbaffd516b | c88d03f66daf06b46fd567dca8e34c50 |                 68
 Rampant Growth                          | rampant growth                          | d553a5c8-1bf6-4648-b567-f6c68a6e30f9 | battle_rule_v1:439f162ed0ffa2321dd21b0692f07af4 | verified      | auto             | curated |            1 | land_ramp                    | basic_land_ramp_tapped_v1                              | Rampant Growth                                        | 8539f295-5d58-4436-a73a-b9277c4c7795 | 4ce07a0d5e5a33a68517b988b63dbe42 |                 99
