Edicao (PTBR),Edicao (EN),Edicao (Sigla),Card (PT),Card (EN),Quantidade,Qualidade,Idioma,Raridade,Cor,Extras,Card #,Comentario
Confluencia,Conflux,con,"Pomar Exotico","Exotic Orchard",1,,,R,L,,142,
Confluencia,Conflux,con,"Torre do Relicario","Reliquary Tower",1,,,U,L,,143,
Conjuncao,Planeshift,ps,"Canto de Orim","Orim's Chant",1,,,R,W,,11,
,Conspiracy,cns,,"Treasonous Ogre",1,,,U,R,,36,
"Contos da Terra Media Commander","Tales of Middle-earth Commander",ltc,"Provocar das Ameias","Taunt from the Rampart",1,,,R,M,,71,
"Contos da Terra Media Commander (Borderless Scene Surge Foil)","Tales of Middle-earth Commander (Borderless Scene Surge Foil)",bsltc,,"Call Forth the Tempest",1,,,R,R,,553,
"Contos da Terra Media Commander (Borderless Scene Surge Foil)","Tales of Middle-earth Commander (Borderless Scene Surge Foil)",bsltc,,"Galadriel's Dismissal",1,,,R,W,,544,
"Contos da Terra Media Commander (Borderless Scene Surge Foil)","Tales of Middle-earth Commander (Borderless Scene Surge Foil)",bsltc,,"Olorin's Searing Light",1,,,R,M,,547,
"Contos da Terra Media Commander (Realms and Relics)","Tales of Middle-earth Commander (Realms and Relics)",rrltc,"Isengard, Fortaleza de Saruman // Boseiju, O Que Tudo Protege","Isengard, Saruman's Fortress // Boseiju, Who Shelters All",1,,,M,L,,359,
"Contos da Terra Media Commander (Realms and Relics)","Tales of Middle-earth Commander (Realms and Relics)",rrltc,"Osgiliath, Capital Caida // Refugio Kor","Osgiliath, Fallen Capital // Kor Haven",1,,,M,L,Foil,368,
"Contos Encantados","Enchanting Tales",wot,"Emancipacao Ignea","Fiery Emancipation",1,,,R,R,,42,
,"Core Set 2019",m19,"Apice do Poder","Apex of Power",1,,,M,R,,129,
"Core Set 2021","Core Set 2021",m21,"Salva Vulcanica","Volcanic Salvo",1,,,R,R,,172,
"Core Set 2021","Core Set 2021",m21,"Visao Dupla","Double Vision",1,,,R,R,,142,
"Despertar do Mundo",Worldwake,wwk,"Reacao em Cadeia","Chain Reaction",1,,,R,R,,74,
,"Doctor Who",who,,"Ensnared by the Mara",1,,,R,R,,84,
"Dominaria Unida Commander","Dominaria United Commander",dmc,"O Cutelo Despojador","The Reaver Cleaver",1,,,R,R,,8,
,"Double Masters 2022",2x2,"Mentor do Monasterio","Monastery Mentor",1,,,M,W,,21,
"Dragoes de Tarkir","Dragons of Tarkir",dtk,"Visao Vulcanica","Volcanic Vision",1,,,R,R,,167,
Entardecer,Eventide,eve,"Soberano Pirico","Balefire Liege",1,,,R,M,,132,
,"Eternal Masters",ema,"Espadas em Arados","Swords to Plowshares",1,,,U,W,,32,
Exodo,Exodus,ex,Contricao,Penance,1,,,U,W,,15,
,"Fallen Empires",fe,"Conch Horn","Conch Horn",1,,,R,C,,9,
Fallout,Fallout,pip,,"Veronica, Dissident Scribe",1,,,R,R,,70,
,"FINAL FANTASY",fin,,"Restoration Magic",1,,,U,W,,30,
,"FINAL FANTASY",fin,,"The Fire Crystal",1,,,R,R,,135,
,"FINAL FANTASY Commander",fic,,"Tataru Taru",1,,,R,W,,30,
,"FINAL FANTASY Commander (Scene Box)",sbfic,,"Fated Clash",1,,,R,W,,449,
,"FINAL FANTASY Commander (Through the Ages)",fca,,"Dawn Warriors' Legacy // Mizzix's Mastery",1,,,R,R,,41,
Flagelo,Scourge,sc,"Templo do Falso Deus","Temple of the False God",1,,,U,L,,143,
,"Forgotten Realms Commander",afc,"Empreitada Incauta","Reckless Endeavor",1,,,R,R,,33,
Fortaleza,Stronghold,sh,"Refugio Escondido","Hidden Retreat",1,,,R,W,,51,
,Foundations,fdn,,"Rite of the Dragoncaller",1,,,M,R,,92,
,"Foundations (Starter Collection)",scfdn,"Oculos da Piromante","Pyromancer's Goggles",1,,,M,C,,677,
"Fragmentos de Alara","Shards of Alara",ala,"Cavaleiro da Orquidea Branca","Knight of the White Orchid",1,,,R,W,,16,
"Fragmentos de Alara","Shards of Alara",ala,"Hino Invencivel","Invincible Hymn",1,,,R,W,,14,
,"From the Vault: Exiled",fve,"Tampo de Adivinhacao do Sensei","Sensei's Divining Top",1,,,M,C,,10,
,"Game Night 2022",gn3,"Apreender os Espolios","Seize the Spoils",1,,,C,R,,86,
"Hora da Devastacao","Hour of Devastation",hou,Abrasao,Abrade,1,,,U,R,,83,
"Hora da Devastacao","Hour of Devastation",hou,"Neheb, o Eterno","Neheb, the Eternal",1,,,M,R,,104,
,"Iconic Masters",ima,"Comando Austero","Austere Command",1,,,R,W,,10,
"Ikoria: Terra de Colossos","Ikoria: Lair of Behemoths",iko,"Magistrado de Drannith","Drannith Magistrate",1,,,R,W,,11,
Innistrad,Innistrad,isd,"Ato Blasfemo","Blasphemous Act",1,,,R,R,,130,
Innistrad,Innistrad,isd,"Retiro da Falesia","Clifftop Retreat",1,,,R,L,,238,
"Innistrad: Voto Carmesim","Innistrad: Crimson Vow",vow,"Dragao Averneo Manaforme","Manaform Hellkite",1,,,M,R,,170,
"Innistrad: Voto Carmesim","Innistrad: Crimson Vow",vow,"Passo do Poente","Sundown Pass",1,,,R,L,,266,
"Innistrad: Voto Carmesim (Commander)","Innistrad: Crimson Vow (Commander)",voc,"Alianca de Casamento","Wedding Ring",1,,,M,W,,32,
Invasao,Invasion,in,"Ruina Global","Global Ruin",1,,,R,W,,18,
Investida,Onslaught,on,Insurreicao,Insurrection,1,,,R,R,,213,
Investida,Onslaught,on,Pacifismo,Pacifism,1,,,C,W,,47,
,Ixalan,xln,"Amuleto Primal","Primal Amulet",1,,,R,C,,243,
,"Jumpstart 2022",j22,"Bucaneiro do Chifre Reluzente","Glint-Horn Buccaneer",1,,,R,R,,539,
,Kaladesh,kld,"Vantagem Inspiradora","Inspiring Vantage",1,,,R,L,,246,
,Kaldheim,khm,"Birgi, Deusa das Historias","Birgi, God of Storytelling",1,,,R,R,,123,
,Kaldheim,khm,"Trapaca de Tibalt","Tibalt's Trickery",1,,,R,R,,153,
"Kamigawa: Dinastia Neon","Kamigawa: Neon Dynasty",neo,Adeus,Farewell,1,,,R,W,,13,
"Kamigawa: Dinastia Neon","Kamigawa: Neon Dynasty",neo,"Invocar Calamidade","Invoke Calamity",1,,,R,R,,147,
"Kamigawa: Dinastia Neon","Kamigawa: Neon Dynasty",neo,"Singularidade Explosiva","Explosive Singularity",1,,,M,R,,140,
"Khans de Tarkir","Khans of Tarkir",ktk,"Palma Defletora","Deflecting Palm",1,,,R,M,,173,
"Khans de Tarkir","Khans of Tarkir",ktk,"Penhasco Marcado pelo Vento","Wind-Scarred Crag",1,,,C,L,,247,
"Lealdade em Ravnica","Ravnica Allegiance",rna,"Dizimo Sufocante","Smothering Tithe",1,,,R,W,,22,
,"Lorwyn Eclipsed",ecl,,"Goliath Daydreamer",1,,,R,R,,143,
,"Lorwyn Eclipsed",ecl,,"Hexing Squelcher",1,,,R,R,,145,
"Lua Arcana","Eldritch Moon",emn,"Dragao Asa-de-espelho","Mirrorwing Dragon",1,,,M,R,,136,
"Magic 2012","Magic 2012",m12,Abolidor-Mor,"Grand Abolisher",1,,,R,W,,19,
"Magic 2012","Magic 2012",m12,Reverberar,Reverberate,1,,,R,R,,152,
"Magic 2013","Magic 2013",m13,"Incendio Mundial",Worldfire,1,,,M,R,,158,
"Magic Origens","Magic Origins",ori,"Falange de Gideon","Gideon's Phalanx",1,,,R,W,,14,
,"MagicFest / GP / Command Fest",gpx,"Caminho da Ascendencia","Path of Ancestry",1,,,S,L,,1,
"Marcha das Maquinas","March of the Machines",mom,"Surto da Salvacao","Surge of Salvation",1,,,U,W,,41,
"Marcha das Maquinas: Commander","March of the Machines: Commander",moc,"Dancar com a Calamidade","Dance with Calamity",1,,,R,R,,29,
,"Marvel's Spider-Man",spm,,"Electro, Assaulting Battery",1,,,R,R,,76,
,"Marvel's Spider-Man (Source Material)",mar,"Sorte Inesperada (Unexpected Windfall)","Unexpected Windfall",1,,,M,R,,29,
Miragem,Mirage,mr,"Tutor Esclarecido","Enlightened Tutor",1,,,U,W,,94,
Mirrodin,Mirrodin,mi,"Cancao Fervilhante","Seething Song",1,,,C,R,,104,
Mirrodin,Mirrodin,mi,"Grevas Faiscantes","Lightning Greaves",1,,,U,C,,199,
"Mirrodin Sitiada","Mirrodin Besieged",mbs,Galvanoth,Galvanoth,1,,,R,R,,62,
,"Modern Horizons",mh1,"Capitao-patrulheiro de Eos","Ranger-Captain of Eos",1,,,M,W,,21,
,"Modern Horizons",mh1,"Doadora de Runas","Giver of Runes",1,,,R,W,,13,
,"Modern Horizons",mh1,Efemerar,Ephemerate,1,,,C,W,,7,
,"Modern Horizons",mh1,"Engenheiro Goblin","Goblin Engineer",1,,,R,R,,128,
,"Modern Horizons",mh1,"Presente Generoso","Generous Gift",1,,,U,W,,11,
,"Modern Horizons",mh1,"Talisma da Conviccao","Talisman of Conviction",1,,,U,C,,230,
,"Modern Horizons 2",mh2,"Ficar Rico","Strike It Rich",1,,,U,R,,143,
,"Modern Horizons 2",mh2,"Ornitoptero do Paraiso","Ornithopter of Paradise",1,,,C,C,,232,
,"Modern Horizons 2",mh2,"Pedra Cerebral",Brainstone,1,,,U,C,,223,
,"Modern Horizons 2",mh2,"Ragavan, Afanador Agil","Ragavan, Nimble Pilferer",1,,,M,R,,138,
"Modern Horizons 3","Modern Horizons 3",mh3,"Bruxa Encantadora","Witch Enchanter",1,,,U,W,,239,
"Modern Horizons 3","Modern Horizons 3",mh3,"Chama da Duplicacao","Flare of Duplication",1,,,R,R,,119,
"Modern Horizons 3","Modern Horizons 3",mh3,"Chama da Fortitude","Flare of Fortitude",1,,,R,W,,26,
"Modern Horizons 3","Modern Horizons 3",mh3,"Cinereia, Dancarina das Chamas","Ashling, Flame Dancer",1,,,M,R,,115,
"Modern Horizons 3","Modern Horizons 3",mh3,"Lideranca da Legiao","Legion Leadership",1,,,U,M,,255,
"Modern Horizons 3","Modern Horizons 3",mh3,"Monge do Pinaculo","Pinnacle Monk",1,,,U,R,,246,
,"MTGO Masters Edition",med,"Explosao de Chamas",Pyroblast,1,,,C,R,,107,
"Mystery Booster 2 (White Border)","Mystery Booster 2 (White Border)",wbmb2,"Saga de Urza","Urza's Saga",1,,,R,L,,114,
"Nova Capenna Commander","New Capenna Commander",ncc,"Chuva de Riquezas","Rain of Riches",1,,,R,R,,50,
"O Legado de Urza","Urza's Legacy",ul,"Madre das Runas","Mother of Runes",1,,,U,W,,14,
"O Senhor dos Aneis: Contos da Terra Media","Lord of the Rings: Tales of Middle-Earth",ltr,"Colocar o Anel","Slip On the Ring",1,,,C,W,,31,
"O Senhor dos Aneis: Contos da Terra Media","Lord of the Rings: Tales of Middle-Earth",ltr,"Inscricao Ardente","Fiery Inscription",1,,,U,R,,126,
"O Senhor dos Aneis: Contos da Terra Media","Lord of the Rings: Tales of Middle-Earth",ltr,"O Um Anel","The One Ring",1,,,M,C,,246,
"O Senhor dos Aneis: Contos da Terra Media","Lord of the Rings: Tales of Middle-Earth",ltr,"Palantir de Orthanc","Palantir of Orthanc",1,,,M,C,,247,
"O Senhor dos Aneis: Contos da Terra Media (Borderless Scene)","Lord of the Rings: Tales of Middle-Earth (Borderless Scene)",bltr,"Bandidagem Descarada","Spiteful Banditry",1,,,M,R,,439,
"O Senhor dos Aneis: Contos da Terra Media (Extended Art)","Lord of the Rings: Tales of Middle-Earth (Extended Art)",exltr,"Colete de Mithril","Mithril Coat",1,,,R,C,,379,
Odisseia,Odyssey,od,"Torrente de Seixos","Volley of Boulders",1,,,R,R,,227,
"Oitava Edicao - Kit Basico","Eighth Edition",8e,Obliterar,Obliterate,1,,,R,R,,204,
"Os Fora da Lei de Encruzilhada do Trovao","Outlaws of Thunder Junction",otj,Grileiro,"Claim Jumper",1,,,R,W,,8,
"Os Fora da Lei de Encruzilhada do Trovao","Outlaws of Thunder Junction",otj,"Penhascos Esmerilhados","Abraded Bluffs",1,,,C,L,,251,
"Pacto das Guildas",Guildpact,gp,"Rebanho Trovejante","Storm Herd",1,,,R,W,,19,
"Phyrexia: Tudo sera um","Phyrexia: All will be one",one,"Solphim, Domina do Pandemonio","Solphim, Mayhem Dominus",1,,,M,R,,150,
"Portoes Violados",Gatecrash,gtc,"Amuleto Boros","Boros Charm",1,,,U,M,,148,
Profecia,Prophecy,pr,"Vento Cauterizante","Searing Wind",1,,,R,R,,103,
"Quarta Edicao","Fourth Edition",4e,"Grimorio de Leng","Library of Leng",1,,,U,C,,185,
"Ravnica: A Cidade das Guildas","Ravnica: City of Guilds",rav,"Forjador de Sol",Sunforger,1,,,R,C,,272,
"Ravnica: A Cidade das Guildas","Ravnica: City of Guilds",rav,"Fundicao Sagrada","Sacred Foundry",1,,,R,L,,280,
"Ravnica: A Cidade das Guildas","Ravnica: City of Guilds",rav,"Sinete Boros","Boros Signet",1,,,C,C,,255,
"Renascer de Zendikar","Zendikar Rising",znr,"Aprisionamento de Nahiri","Nahiri's Binding",1,,,C,W,,29,
"Renascer de Zendikar","Zendikar Rising",znr,"Chamado de Emeria","Emeria's Call",1,,,M,W,,12,
"Renascer de Zendikar","Zendikar Rising",znr,"Despertar de Valakut","Valakut Awakening",1,,,R,R,,174,
"Retorno a Ravnica","Return to Ravnica",rtr,"Atirador da Sarjeta",Guttersnipe,1,,,U,R,,98,
"Retorno de Avacyn","Avacyn Restored",avr,"Caverna das Almas","Cavern of Souls",1,,,R,L,,226,
"Retorno de Avacyn","Avacyn Restored",avr,"Reforjar a Alma","Reforge the Soul",1,,,R,R,,151,
